Mission Subphase,Sol,Centroid Longitude,Centroid Latitude,Area,Maximum Latitude,Minimum Latitude,Confidence Interval,Horizontal Distance,Vertical Distance
B02,23,-13.05,25.55,1602657.6,44.35,4.75001,50,692.2591465689021,2342.6536342760232
B02,23,27.25,23.85,3515497.2,38.05,9.45,50,2097.9328966339635,1691.9169408955472
B02,23,40.05,-37.25,1038446.4,-29.45,-45.85,50,1079.7746441004792,970.1901339401041
B02,23,98.35,-19.55,1918263.1,-1.64999,-38.55,75,897.228949405217,2182.9283929445837
B02,23,81.65,-37.95,948157.5,-24.35,-50.35,50,616.7626545739338,1538.106309905043
B02,24,-15.45,25.35,1601669.8,43.45,6.95,75,753.5272250677506,2159.2646273666946
B02,24,28.45,25.25,4056034.5,43.45,6.95,50,1909.791255257134,2159.2646273666946
B02,24,-31.65,26.15,304577.97,37.05,19.25,100,295.65737121892306,1053.0112429349906
B02,24,58.45,-41.35,960549.94,-30.55,-53.55,50,718.4995543433729,1360.632504915999
B02,24,84.95,-37.65,1502854.9,-21.85,-53.75,50,808.3822753766406,1887.1381263834949
B02,24,-116.55,-10.05,316353.19,-4.35,-15.25,75,490.97145536996743,644.8214914601909
B02,24,107.55,-21.85,2269207.2,3.75001,-46.65,50,784.0078086286072,2981.560515395279
B02,25,-32.35,27.05,790401.19,34.75,18.65,100,830.0304045488564,952.4427534411998
B02,25,91.65,-4.14999,888247.56,5.85001,-12.15,75,836.6661018060322,1064.8434215136103
B02,25,111.85,-21.75,2296844.5,7.05,-41.25,50,804.7680808640913,2857.3282603235984
B02,25,-6.54999,31.45,1390592.2,49.75,14.05,75,672.4675404161658,2111.938279369617
B02,25,-15.15,-44.35,52842.625,-41.55,-47.05,75,162.33242589425865,325.368642479913
B02,26,91.65,-0.949997,701467.31,11.65,-10.25,75,544.7158075420064,1295.5587764200168
B02,26,116.85,-18.15,1999133.1,9.15,-45.15,50,645.7047547315915,3212.2758703016852
B02,26,-25.55,27.15,649760.19,38.05,19.25,100,595.0489329515782,1112.1691779313385
B02,26,-6.45,34.85,896315.5,47.85,21.15,75,570.2143000686935,1579.5168644024864
B02,26,95.95,-38.85,1452284.5,-23.05,-55.55,50,770.4826716730572,1922.6328873813036
B02,27,-159.25,35.55,278417.19,41.35,29.85,100,410.1904268579154,680.3162524579999
B02,27,-21.05,27.35,768000.25,36.85,18.45,75,710.5295004453795,1088.5060039327998
B02,27,0.350006,36.95,1110776.1,49.25,24.45,50,762.058447554401,1467.1167879094255
B02,27,77.55,-35.85,266512.53,-29.25,-40.65,50,391.4426767082812,674.4004589583648
B02,27,107.45,-36.95,2659503.5,-23.45,-51.95,50,1609.7707644195968,1686.0011473959125
B02,28,-17.05,23.55,1066546.0,38.25,10.05,75,648.8145010363907,1668.2537668970078
B02,28,-152.85,35.55,242193.62,40.35,31.75,100,479.50420074057666,508.75824096859105
B02,28,63.75,25.45,335739.19,32.85,18.65,75,401.7003843585581,840.0426769481392
B02,28,99.45,-10.45,694220.31,-2.85,-21.75,75,627.7904307548275,1118.0849714309734
B02,28,98.25,-35.55,616113.38,-23.25,-47.25,50,435.5119448383689,1419.7904399123472
B02,28,76.25,-34.75,291127.66,-28.05,-40.55,75,392.35175097954624,739.4741874543472
B02,29,-153.55,34.05,267381.88,38.85,29.85,75,504.5084300124324,532.4214149671302
B02,29,67.55,19.35,789941.75,30.15,9.05,75,637.4213453531896,1248.2324284229385
B02,29,-12.75,22.35,866196.88,35.35,9.85001,75,580.0131403383689,1508.526750827519
B02,29,95.35,-33.95,1117605.0,-22.65,-46.95,75,791.2913134259416,1437.537820411252
B02,30,-149.25,35.45,515819.28,42.05,27.95,75,616.5289742422785,834.1268834485038
B02,30,-33.15,-22.75,1059894.1,-5.55,-41.25,75,512.5407563941129,2111.9382793696163
B02,30,130.15,14.15,82115.141,17.65,10.75,75,201.33502817147829,408.1897514747997
