filename,date,lat_min,lat_max,lon_min,lon_max
possible_detections_J/mrom_0917_J11_049121_3012_MA_00N336W_2017-01-18_27to56_15to36.tif,2017-01-18,27,56,15,36
possible_detections_J/mrom_0867_J05_046876_1929_MA_00N239W_2016-07-27_-56to-41_112to133.tif,2016-07-27,-56,-41,112,133
possible_detections_J/mrom_0860_J05_046660_1832_MA_00N102W_2016-07-10_-25to-3_249to270.tif,2016-07-10,-25,-3,249,270
possible_detections_J/mrom_0836_J03_046060_1576_MA_00N281W_2016-05-24_-57to-27_70to91.tif,2016-05-24,-57,-27,70,91
possible_detections_J/mrom_0861_J05_046687_1844_MA_00N119W_2016-07-12_-60to-27_232to253.tif,2016-07-12,-60,-27,232,253
possible_detections_J/mrom_0909_J10_048676_2800_MA_00N067W_2016-12-14_-18to-5_284to305.tif,2016-12-14,-18,-5,284,305
possible_detections_J/mrom_0878_J06_047242_2099_MA_00N152W_2016-08-24_-11to34_199to220.tif,2016-08-24,-11,34,199,220
possible_detections_J/mrom_0920_J12_049350_3117_MA_00N108W_2017-02-04_5to48_243to264.tif,2017-02-04,5,48,243,264
possible_detections_J/mrom_0829_J03_045867_1498_MA_00N052W_2016-05-09_-58to-30_299to320.tif,2016-05-09,-58,-30,299,320
possible_detections_J/mrom_0849_J04_046403_1720_MA_00N286W_2016-06-20_-49to-35_65to86.tif,2016-06-20,-49,-35,65,86
possible_detections_J/mrom_0869_J05_046922_1950_MA_00N055W_2016-07-30_-58to-39_296to317.tif,2016-07-30,-58,-39,296,317
possible_detections_J/mrom_0886_J07_047514_2229_MA_00N018W_2016-09-14_-9to47_333to354.tif,2016-09-14,-9,47,333,354
possible_detections_J/mrom_0832_J03_045964_1537_MA_00N180W_2016-05-16_-40to-22_171to192.tif,2016-05-16,-40,-22,171,192
possible_detections_J/mrom_0936_J14_050438_3576_MA_00N291W_2017-04-30_25to48_60to81.tif,2017-04-30,25,48,60,81
possible_detections_J/mrom_0921_J12_049377_3129_MA_00N125W_2017-02-06_-18to22_226to247.tif,2017-02-06,-18,22,226,247
possible_detections_J/mrom_0916_J11_049069_2987_MA_00N357W_2017-01-13_25to58_-6to15.tif,2017-01-13,25,58,-6,15
possible_detections_J/mrom_0920_J12_049334_3110_MA_00N031W_2017-02-03_21to47_320to341.tif,2017-02-03,21,47,320,341
possible_detections_J/mrom_0921_J12_049413_3145_MA_00N028W_2017-02-09_20to42_323to344.tif,2017-02-09,20,42,323,344
possible_detections_J/mrom_0918_J11_049167_3033_MA_00N152W_2017-01-21_26to61_199to220.tif,2017-01-21,26,61,199,220
possible_detections_J/mrom_0842_J04_046229_1646_MA_00N216W_2016-06-06_-51to-29_135to156.tif,2016-06-06,-51,-29,135,156
possible_detections_J/mrom_0917_J11_049139_3020_MA_00N108W_2017-01-19_16to30_243to264.tif,2017-01-19,16,30,243,264
possible_detections_J/mrom_0822_J02_045606_1396_MA_00N126W_2016-04-19_-49to-27_225to246.tif,2016-04-19,-49,-27,225,246
possible_detections_J/mrom_0836_J03_046065_1578_MA_00N058W_2016-05-24_-54to-30_293to314.tif,2016-05-24,-54,-30,293,314
possible_detections_J/mrom_0829_J03_045884_1505_MA_00N156W_2016-05-10_-48to-31_195to216.tif,2016-05-10,-48,-31,195,216
possible_detections_J/mrom_0919_J11_049239_3066_MA_00N318W_2017-01-27_38to55_33to54.tif,2017-01-27,38,55,33,54
possible_detections_J/mrom_0916_J11_049047_2977_MA_00N116W_2017-01-12_30to63_235to256.tif,2017-01-12,30,63,235,256
possible_detections_J/mrom_0831_J03_045914_1517_MA_00N255W_2016-05-13_-33to5_96to117.tif,2016-05-13,-33,5,96,117
possible_detections_J/mrom_0848_J04_046371_1706_MA_00N132W_2016-06-17_-55to-38_219to240.tif,2016-06-17,-55,-38,219,240
possible_detections_J/mrom_0914_J11_048912_2913_MA_00N030W_2017-01-01_25to41_321to342.tif,2017-01-01,25,41,321,342
possible_detections_J/mrom_0932_J14_050138_3456_MA_00N020W_2017-04-07_16to37_331to352.tif,2017-04-07,16,37,331,352
possible_detections_J/mrom_0830_J03_045901_1512_MA_00N260W_2016-05-12_-17to5_91to112.tif,2016-05-12,-17,5,91,112
possible_detections_J/mrom_0811_J01_045102_1207_MA_00N048W_2016-03-10_-51to-34_303to324.tif,2016-03-10,-51,-34,303,324
possible_detections_J/mrom_0922_J12_049492_3180_MA_00N024W_2017-02-15_13to40_327to348.tif,2017-02-15,13,40,327,348
possible_detections_J/mrom_0921_J12_049430_3153_MA_00N132W_2017-02-11_-1to36_219to240.tif,2017-02-11,-1,36,219,240
